instname,state,tuition,revenue,control,total_enrollment,all_employees,LONGITUD,LATITUDE
California State University-Chancellors Office,California,,229178358,,,-118.2012,33.76435,
California State University-San Bernardino,California,7380,141675161,14280,1613,-117.328235,34.177998,
California State Polytechnic University-Pomona,California,7380,218956523,18021,2110,-117.820714,34.05037,
California State University-Chico,California,7380,195143651,15261,2004,-121.84621,39.73177,
California State University-Dominguez Hills,California,7380,109601537,12524,1339,-118.25869,33.867102,
California State University-Fresno,California,7380,245165657,18321,2299,-119.745289,36.815306,
California State University-Fullerton,California,7380,242127150,27167,3133,-117.887433,33.879642,
California State University-East Bay,California,7380,145337118,12667,1680,-122.062441,37.658892,
California State University-Long Beach,California,7380,326357231,30011,3388,-118.122256,33.781967,
California State University-Los Angeles,California,7380,202812195,19783,2265,-118.171605,34.062369,
California State University-Northridge,California,7380,311450421,27947,3192,-118.527573,34.235561,
California State University-Sacramento,California,7380,285264723,24530,2813,-121.427431,38.567103,
University of California-Berkeley,California,9804,1222759992,31347,16138,-122.254334,37.87059,
University of California-Davis,California,9804,1635507968,25092,13356,-121.75008,38.54027,
University of California-Irvine,California,9804,828820008,19277,8178,-117.842133,33.647124,
University of California-Los Angeles,California,9804,2612248056,36351,21290,-118.437942,34.074002,
University of California-Riverside,California,9384,269989000,11600,4138,-117.331107,33.975885,
University of California-San Diego,California,9384,1428597976,19894,12451,-117.239122,32.875469,
University of California-San Francisco,California,9804,1363465016,3491,11924,-122.459818,37.763031,
University of California-Santa Barbara,California,13603,441492000,20056,6167,-119.84342,34.414661,
University of California-Santa Cruz,California,0,276721000,11302,4087,-122.052313,36.977156,
Institute of Transpersonal Psychology,California,,3343334.002,340,64,-122.108884,37.430114,
California Beauty School,California,,278922.003,71,,-120.997081,37.645419,
California Christian College,California,2760,567290.002,99,29,-119.732776,36.76662,
California College-San Diego,California,6900,512613.003,85,4,-117.133698,32.770239,
California Culinary Academy,California,13800,10540343,658,151,-122.402691,37.765412,
California Hair Design Academy,California,,584497.003,,,-117.025306,32.765662,
California Institute of the Arts,California,18950,47785750.9,1224,573,-118.56614,34.394751,
California Maritime Academy,California,7380,20059383,583,201,-122.230748,38.073816,
California Western School of Law,California,,18873131,717,162,-117.162506,32.72196,
Canada College,California,3336,5602353.001,4819,346,-122.260383,37.447062,
College of the Canyons,California,3600,34640391,9146,544,-118.567583,34.407188,
Career Academy of Beauty,California,,1061326.003,330,,-118.031392,33.781049,
Casa Loma College-Van Nuys,California,,5964052.002,287,,-118.457461,34.192606,
CET-San Diego,California,,654392.002,79,,-117.104837,32.711482,
CET-Sobrato,California,,3147502.002,271,,-121.885938,37.322017,
CET-El Centro,California,,1338267.002,178,,-115.548865,32.790829,
CET-Riverside,California,,1287311.002,194,,-117.268354,34.075028,
CET-Watsonville,California,,909359.002,68,,-121.76825,36.932055,
CET-Gilroy,California,,759395.002,74,,-121.562133,37.015393,
CET-Salinas,California,,693774.002,53,,-121.653267,36.671509,
Cerritos College,California,3000,74972659,20450,1106,-118.097454,33.887435,
Chabot College,California,,42638508,11915,763,-122.1027,37.640391,
Chaffey College,California,3600,48622207,13468,767,-117.575668,34.145967,
Chapman University,California,,136741826,,,-117.85168,33.79303,
Charles R Drew University of Medicine and Science,California,7200,60374631,211,286,-118.242462,33.924654,
Concordia University,California,15700,17943705,1208,256,-117.8077,33.655664,
San Diego Christian College,California,10840,7145553.002,613,129,-116.904289,32.79999,
Church Divinity School of the Pacific,California,,4402749.002,131,47,-122.260951,37.875943,
Citrus College,California,,53847044.13,10668,849,-117.884047,34.135951,
City College of San Francisco,California,3406,165678638,27986,2777,-122.452309,37.726771,
Claremont Graduate University,California,,42909514,2016,468,-117.714076,34.10335,
Claremont McKenna College,California,20600,143166287,1043,338,-117.707045,34.102557,
Golden State College,California,,2159506.003,199,,-119.313417,36.284044,
Cleveland Chiropractic College of Los Angeles,California,4716,11349207,661,113,-118.291713,34.081545,
Clovis Adult Education,California,,1191111.001,521,,-119.690637,36.835872,
Coastline Community College,California,,,1,34848,2239,-117.929579,33.716363
Coleman College,California,10080,12548197,,206,-117.135995,32.82143,
COBA Academy,California,,1051199.003,196,,-117.853233,33.788226,
Western University of Health Sciences,California,12915,38665601,1411,283,-117.747847,34.057955,
Columbia College,California,3724,87312132,16056,955,-120.388356,38.029168,
Columbia College Hollywood,California,10500,1610975.002,134,33,-118.53889,34.179962,
Compton Community College,California,,27021159,4866,432,-118.209134,33.874419,
San Fernando Beauty Academy,California,,733928.003,169,,-118.45012,34.228021,
Contra Costa College,California,3120,275229780,31590,887,-122.342159,37.968886,
Cuesta College,California,3192,36967007,8879,593,-120.67182,35.27279,
Cuyamaca College,California,3264,72685356,22630,1411,-116.938335,32.746192,
Cynthias Beauty Academy,California,,2939193.003,329,,-118.193355,33.978651,
Cypress College,California,4020,161516912,31399,1792,-118.025102,33.828139,
De Anza College,California,3060,178941370,38547,1973,-122.046103,37.322798,
Image School of Cosmetology,California,,565968.003,102,,-116.999767,33.747387,
International School of Beauty Inc,California,,1104955.003,177,,-116.403765,33.729597,
Dell'Arte International School of Physical Theatre,California,,879658.002,36,,-123.989104,40.880649,
College of the Desert,California,3892,41000305,16505,166,-116.38753,33.73256,
Design Institute of San Diego,California,10200,2534257.003,301,38,-117.167676,32.880904,
DeVry University-California,California,7778,37865385,3499,442,-117.803061,34.063021,
Dominican University of California,California,16512,25364928,1431,343,-122.513932,37.979956,
Dominican School of Philosophy and Theology,California,7800,1274385.002,71,23,-122.264752,37.880865,
California Cosmetology College,California,,283959.003,37,,-121.947913,37.348152,
El Camino College,California,3288,67055249,22616,1284,-118.326597,33.885352,
Elegance International,California,,,3,14,,-118.338691,34.100413
Marinello Schools of Beauty,California,,1034049.003,78,,-118.309921,34.181763,
Emperors College of Traditional Oriental Medicine,California,,2876516.003,387,59,-118.484595,34.030315,
Empire College School of Business,California,5946,3472553.003,355,45,-122.729022,38.468539,
Fashion Institute of Design & Merchandising-Los Angeles,California,13345,47555925,3096,641,-118.259357,34.044404,
Fashion Careers College,California,10958,1233634.003,119,,-117.20727,32.780841,
Feather River Community College District,California,3264,8954570.001,838,141,-120.971382,39.952625,
Federico Beauty Institute,California,,2049625.003,139,,-121.497712,38.648326,
Fielding Graduate University,California,,14652365,1179,144,-119.714032,34.434244,
Five Branches Institute,California,,1729358.002,,,-121.998468,36.964366,
Hair California Beauty Academy,California,,133415.003,130,,-117.835701,33.806094,
Franciscan School of Theology,California,,3617226.002,89,,-122.260583,37.877163,
Fredrick and Charles Beauty College,California,,382551.003,48,,-124.165292,40.799218,
Fresno City College,California,2904,88041644,16739,1290,-119.797983,36.765891,
Fresno Pacific University,California,13150,21457921,1677,216,-119.736344,36.726031,
